word	IPA
the	ðə
and	ænd
for	fɔr
you	juː
his	hɪz
not	nɑt
but	bʌt
she	ʃiː
can	kæn
who	huː
get	ɡɛt
her	hɝ
all	ɔl
one	wʌn
make	meɪk
out	aʊt
now	naʊ
see	siː
how	haʊ
its	ɪts
our	aʊɚ
man	mæn
was	wʌz
are	ɑr
had	hæd
day	deɪ
way	weɪ
use	juːz
two	tuː
may	meɪ
own	oʊn
old	oʊld
let	lɛt
big	bɪɡ
few	fjuː
ask	æsk
end	ɛnd
run	rʌn
set	sɛt
try	traɪ
pay	peɪ
cut	kʌt
yet	jɛt
add	æd
job	dʒɑb
far	fɑr
top	tɑp
bad	bæd
win	wɪn
lot	lɑt
buy	baɪ
low	loʊ
act	ækt
key	kiː
war	wɔr
age	eɪdʒ
air	ɛr
car	kɑr
sit	sɪt
lay	leɪ
hit	hɪt
fix	fɪks
fit	fɪt
box	bɑks
law	lɔ
bed	bɛd
tie	taɪ
boy	bɔɪ
six	sɪks
gas	ɡæs
egg	ɛɡ
tap	tæp
mix	mɪks
dot	dɑt
bat	bæt
map	mæp
run	rʌn
bit	bɪt
fan	fæn
pot	pɑt
cap	kæp
dry	draɪ
wet	wɛt
cat	kæt
dog	dɔɡ
hat	hæt
back	bæk
book	bʊk
city	ˈsɪti
door	dɔr
fast	fæst
hope	hoʊp
kind	kaɪnd
life	laɪf
more	mɔr
name	neɪm
open	ˈoʊpən
play	pleɪ
read	riːd
stay	steɪ
turn	tɝn
work	wɝk
write	raɪt
apple	ˈæpəl
bring	brɪŋ
drive	draɪv